,Track Name,Artist,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams,popularity
0,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,7hxHWCCAIIxFLCzvDgnQHX,0.25,0.8,195429,0.658,0.0,1,0.111,-6.142,0,0.079,140.042,4,0.462,8514480,80
1,Mood (feat. iann dior),24kGoldn,3tjFYV6RSFtuktYl3ZtYcq,0.221,0.7,140526,0.722,0.0,7,0.272,-3.558,0,0.0369,90.989,4,0.756,7871944,21
2,WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,187541,0.454,0.0,1,0.0824,-7.509,1,0.375,133.073,4,0.357,7561476,83
3,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0PvFJmanyNQMseIFrU708S,0.114,0.823,190476,0.586,0.0,6,0.193,-6.606,0,0.2,125.971,4,0.347,7533527,84
4,Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,0.244,0.761,261493,0.518,3.47e-05,0,0.107,-8.871,1,0.134,133.976,4,0.522,6157923,83
5,What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,0.65,0.709,160000,0.548,1.59e-06,10,0.133,-8.493,1,0.353,83.995,4,0.543,6120832,84
6,Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,0.196,0.673,212093,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372,5208862,79
7,Lonely (with benny blanco),Justin Bieber,4y4spB9m0Q6026KfkAvy9Q,0.864,0.631,149297,0.239,0.0,11,0.116,-7.071,0,0.0398,79.859,4,0.0927,5148206,79
8,Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789,5083371,84
9,ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,0.247,0.746,181733,0.69,0.0,11,0.101,-7.956,1,0.164,89.977,4,0.497,4614074,84
10,Come & Go (with Marshmello),Juice WRLD,2Y0wPrPQBrGhoLn14xRYCG,0.0172,0.625,205485,0.814,0.0,0,0.158,-5.181,1,0.0657,144.991,4,0.535,4569303,83
11,Wishing Well,Juice WRLD,2U5WueTLIK5WJLD7mvDODv,0.00336,0.65,194621,0.613,0.0,9,0.267,-6.13,0,0.128,149.972,4,0.0804,4534382,83
12,Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,0.231,0.647,193839,0.667,0.0,5,0.133,-5.563,1,0.304,172.08,4,0.704,4310625,75
13,Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,0.00748,0.819,195906,0.626,0.101,10,0.167,-4.574,0,0.202,143.01,4,0.415,4276451,79
14,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334,4273503,92
15,Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,0.584,0.357,198040,0.425,0.0,5,0.322,-7.301,1,0.0333,102.078,3,0.27,4189966,87
16,POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq,0.057,0.8,200221,0.56,0.0,5,0.134,-4.818,0,0.261,163.071,4,0.45,4113571,78
17,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,0.0563,0.399,210463,0.491,0.00089,6,0.11,-10.778,0,0.0538,91.066,4,0.151,4101821,80
18,Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,0.0112,0.746,199054,0.765,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,0.737,4097133,76
19,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Tory Lanez,2MbdDtCv5LUVjYy9RuGTgC,0.0631,0.904,227478,0.723,0.0,11,0.185,-5.224,0,0.26,145.013,4,0.835,3911567,79
20,you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,0.785,0.667,169266,0.373,0.0,4,0.0906,-9.389,1,0.05,124.148,4,0.0823,3788856,86
21,Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557,3782070,89
22,Wonder,Shawn Mendes,5KCbr5ndeby4y4ggthdiAb,0.131,0.333,172693,0.637,1.8e-05,1,0.149,-4.904,0,0.0581,139.898,4,0.132,3701971,76
23,my ex's best friend (with blackbear),Machine Gun Kelly,7kDUspsoYfLkWnZR7qwHZl,0.00473,0.731,139461,0.675,0.0,5,0.141,-5.134,0,0.0434,124.939,4,0.298,3680326,82
24,Blueberry Faygo,Lil Mosey,22LAwLoDA5b4AaGSkg6bKW,0.207,0.774,162547,0.554,0.0,0,0.132,-7.909,1,0.0383,99.034,4,0.349,3627605,79
25,Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ,0.345,0.832,132833,0.534,0.0,1,0.165,-7.813,0,0.253,93.924,4,0.116,3530585,84
26,Mood Swings (feat. Lil Tjay),Pop Smoke,5rZlwNFl01HqLWBQGryKSm,0.487,0.48,213333,0.602,0.0,10,0.0848,-6.335,0,0.368,179.798,4,0.269,3338195,81
27,24 (feat. Lil Baby),Money Man,0xUvi7wldroBzaZCengPa5,0.146,0.868,182857,0.638,0.0565,2,0.0931,-7.746,1,0.0736,126.03,4,0.459,3330789,77
28,Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,0.598,0.744,188387,0.619,0.00372,0,0.231,-9.805,1,0.039,112.997,4,0.641,3273062,82
29,Be Like That - feat. Swae Lee & Khalid,Kane Brown,5f1joOtoMeyppIcJGZQvqJ,0.0469,0.727,191406,0.626,2.58e-05,7,0.126,-8.415,1,0.0726,86.97,4,0.322,3100192,78
