,Track Name,Artist,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams,popularity
0,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,0.335,0.563,178147,0.664,0.0,9,0.0849,-5.044,1,0.154,166.928,4,0.688,14077603,94
1,Kiss Me More (feat. SZA),Doja Cat,3DarAbFujv6eYNliUTyqtz,0.259,0.764,208667,0.705,8.92e-05,8,0.12,-3.463,1,0.0284,110.97,4,0.781,10111651,86
2,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",5B0kgjHULYJhAQkK5XsMoC,0.269,0.493,121573,0.653,0.0,0,0.511,-5.666,0,0.0466,142.347,4,0.852,9810559,80
3,You Right,Doja Cat,0k4d5YPDr1r7FX77VdqWez,0.0164,0.828,186173,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436,8310012,86
4,deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,0.584,0.442,215507,0.612,5.7e-06,2,0.37,-7.222,1,0.112,180.917,4,0.178,7409947,88
5,Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,0.00883,0.702,203064,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,7281104,87
6,RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,0.41,0.789,165926,0.536,0.0,6,0.129,-6.862,1,0.242,81.039,4,0.437,7172909,79
7,Bad Habits,Ed Sheeran,6PQ88X9TkUIAUIZJHW2upE,0.0469,0.808,231041,0.897,3.14e-05,11,0.364,-3.712,0,0.0348,126.026,4,0.591,6957546,95
8,MONTERO (Call Me By Your Name),Lil Nas X,67BtfxlNbhBmCDR2L2l8qd,0.297,0.61,137876,0.508,0.0,8,0.384,-6.682,0,0.152,178.818,4,0.758,6926956,87
9,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",7z4xW9WY86uH3gd1V9pfCM,0.0195,0.827,146419,0.571,0.0,11,0.166,-7.949,1,0.366,142.034,4,0.62,6906373,75
10,Ain't Shit,Doja Cat,5lAnYvAIkSDNXqfo7DyFUm,0.506,0.855,174253,0.488,0.0,3,0.347,-4.601,1,0.208,124.097,4,0.619,6758866,86
11,LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",5fbHRCsGpFIOLRtlhCRFDR,0.155,0.62,130980,0.586,0.0,1,0.535,-6.612,1,0.212,137.131,4,0.487,6706838,71
12,traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,0.691,0.38,229227,0.339,0.0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849,6670601,92
13,LUMBERJACK,"Tyler, The Creator",0BiK5BbYNFLb88CCOxBFJe,0.122,0.386,138312,0.762,0.0,9,0.527,-6.341,1,0.564,170.691,4,0.433,6560746,70
14,Thot Shit,Megan Thee Stallion,5zNW5ARjYhJQJz1AChP33n,0.0133,0.95,184635,0.693,0.0,9,0.173,-3.424,1,0.0898,130.02,4,0.891,5879446,82
15,HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",3JJL91ilRV6fXhKqu0FGXs,0.601,0.371,155293,0.75,0.0,7,0.482,-5.382,0,0.402,173.456,4,0.729,5818713,71
16,Wants and Needs (feat. Lil Baby),Drake,65OVbaJR5O1RmwOQx0875b,0.0618,0.578,192956,0.449,2.17e-06,1,0.119,-6.349,1,0.286,136.006,4,0.1,5796557,84
17,Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,5457810,91
18,Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,0.276,0.644,206710,0.648,0.0,1,0.135,-4.601,1,0.118,179.951,4,0.44,5404217,92
19,CORSO,"Tyler, The Creator",46oHvXwpEZOFX518we1nJD,0.169,0.703,146482,0.845,0.0,10,0.122,-4.851,0,0.337,97.672,4,0.745,5400580,71
20,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",3EG9FJ0ToLfgnc1IG2Z1wz,0.333,0.468,588139,0.652,0.000318,0,0.55,-4.912,1,0.0722,140.223,4,0.39,5232477,75
21,Todo De Ti,Rauw Alejandro,5RwV8BvLfX5injfqYodke9,0.302,0.78,199604,0.719,0.000196,3,0.0931,-3.613,0,0.0506,127.962,4,0.336,5227897,83
22,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,0.321,0.677,198082,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464,5215512,91
23,Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,0.304,0.664,210560,0.609,0.0,1,0.0926,-6.509,1,0.0707,130.041,4,0.194,5043368,93
