,Track Name,Artist,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams,popularity
0,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,0.499,0.436,279204,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412,6323585,84
1,Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,0.181,0.686,190779,0.538,3.13e-06,2,0.113,-8.026,1,0.0345,115.884,4,0.584,6149984,79
2,34+35,Ariana Grande,6Im9k8u9iIzKMrmV7BWtlF,0.237,0.83,173711,0.585,0.0,0,0.248,-6.476,1,0.094,109.978,4,0.485,5606876,84
3,Mood (feat. iann dior),24kGoldn,3tjFYV6RSFtuktYl3ZtYcq,0.221,0.7,140526,0.722,0.0,7,0.272,-3.558,0,0.0369,90.989,4,0.756,5583614,23
4,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,7hxHWCCAIIxFLCzvDgnQHX,0.25,0.8,195429,0.658,0.0,1,0.111,-6.142,0,0.079,140.042,4,0.462,5368252,79
5,DÁKITI,Bad Bunny,4MzXwWMhyBbmu6hOcLVD49,0.401,0.731,205090,0.573,5.22e-05,4,0.113,-10.059,0,0.0544,109.928,4,0.145,5161927,84
6,positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,0.468,0.737,172325,0.802,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682,5102841,86
7,Whoopty,CJ,5vGLcdRuSbUhD8ScwsGSdA,0.2,0.719,123263,0.648,0.0,3,0.127,-7.6,0,0.125,140.201,4,0.66,4877062,79
8,WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,0.213,0.662,161385,0.413,0.0,0,0.134,-7.357,1,0.0299,93.005,4,0.467,4777818,85
9,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334,4440447,92
10,Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,0.00883,0.702,203064,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,4422483,87
11,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0PvFJmanyNQMseIFrU708S,0.114,0.823,190476,0.586,0.0,6,0.193,-6.606,0,0.2,125.971,4,0.347,4156151,83
12,WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,187541,0.454,0.0,1,0.0824,-7.509,1,0.375,133.073,4,0.357,4075050,83
13,willow,Taylor Swift,3Uo7WG0vmLQ07WB4BDwy7D,0.835,0.392,214707,0.579,0.00179,7,0.145,-9.195,1,0.164,80.961,4,0.549,4063837,74
14,What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,0.65,0.709,160000,0.548,1.59e-06,10,0.133,-8.493,1,0.353,83.995,4,0.543,3951385,84
15,Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha,0.218,0.889,174321,0.34,0.13,11,0.055,-7.773,0,0.0697,94.009,4,0.716,3894603,79
16,Body,Megan Thee Stallion,0A1hoCfMLkiAgvhWkkucJa,0.0166,0.914,171067,0.732,0.0,8,0.107,-6.1,0,0.241,94.066,4,0.469,3880068,76
17,Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,0.244,0.761,261493,0.518,3.47e-05,0,0.107,-8.871,1,0.134,133.976,4,0.522,3868635,82
18,HOLIDAY,Lil Nas X,6zFMeegAMYQo0mt8rXtrli,0.12,0.81,154998,0.511,0.0,5,0.0832,-6.924,0,0.164,151.947,4,0.837,3804112,83
19,ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,0.247,0.746,181733,0.69,0.0,11,0.101,-7.956,1,0.164,89.977,4,0.497,3541901,84
20,Wishing Well,Juice WRLD,2U5WueTLIK5WJLD7mvDODv,0.00336,0.65,194621,0.613,0.0,9,0.267,-6.13,0,0.128,149.972,4,0.0804,3404248,83
21,Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398,3400346,90
22,Blueberry Faygo,Lil Mosey,22LAwLoDA5b4AaGSkg6bKW,0.207,0.774,162547,0.554,0.0,0,0.132,-7.909,1,0.0383,99.034,4,0.349,3150550,79
23,Way Out (feat. Big Sean),Jack Harlow,57VeLYXrvNxe8Vs18K2M9W,0.114,0.945,168906,0.582,0.0,11,0.103,-8.357,0,0.0719,108.025,4,0.907,3120455,73
24,Come & Go (with Marshmello),Juice WRLD,2Y0wPrPQBrGhoLn14xRYCG,0.0172,0.625,205485,0.814,0.0,0,0.158,-5.181,1,0.0657,144.991,4,0.535,3084736,83
25,Tyler Herro,Jack Harlow,3w1WjD2zJqjBjDz5fwqQPJ,0.0872,0.792,156578,0.793,0.0,5,0.22,-6.185,0,0.0841,123.031,4,0.775,3012027,75
26,All Girls Are The Same,Juice WRLD,4VXIryQMWpIdGgYR4TrjT1,0.0769,0.671,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203,2961057,83
27,Reminds Me Of You,Juice WRLD,5YSHygGN9D0mID1NsVd5my,0.0663,0.613,158033,0.631,0.0,4,0.169,-6.965,1,0.12,149.992,4,0.33,2957522,74
28,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,1HbA4N1MiOsPthALesGFR1,0.0593,0.64,178994,0.392,0.0,2,0.0839,-7.246,0,0.0574,145.838,4,0.502,2947806,72
29,champagne problems,Taylor Swift,0sY6ZUTh4yoctD8VIXz339,0.92,0.462,244000,0.24,0.0,0,0.113,-12.077,1,0.0377,171.319,4,0.32,2875906,79
30,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,0ZLuW8uOXdFNWcI40C0OC2,0.0631,0.904,227478,0.723,0.0,11,0.185,-5.224,0,0.26,145.013,4,0.835,2861265,74
31,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,2r6OAV3WsYtXuXjvJ1lIDi,0.0187,0.905,190534,0.647,0.0,10,0.282,-5.065,0,0.107,130.97,4,0.367,2858702,81
32,Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557,2840470,89
33,The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,0.104,0.896,196653,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642,2810078,83
34,Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553,2804775,87
35,you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,0.785,0.667,169266,0.373,0.0,4,0.0906,-9.389,1,0.05,124.148,4,0.0823,2783099,86
36,my ex's best friend (with blackbear),Machine Gun Kelly,7kDUspsoYfLkWnZR7qwHZl,0.00473,0.731,139461,0.675,0.0,5,0.141,-5.134,0,0.0434,124.939,4,0.298,2773001,82
37,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218,2769384,85
38,pov,Ariana Grande,3UoULw70kMsiVXxW0L3A33,0.36,0.487,201882,0.534,0.0,0,0.1,-5.664,0,0.0555,131.798,4,0.173,2754127,80
39,Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,0.191,0.487,232533,0.65,0.0,0,0.0933,-5.195,1,0.0253,151.964,4,0.456,2740228,79
40,Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,0.584,0.357,198040,0.425,0.0,5,0.322,-7.301,1,0.0333,102.078,3,0.27,2720201,86
41,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,0.0563,0.399,210463,0.491,0.00089,6,0.11,-10.778,0,0.0538,91.066,4,0.151,2706892,80
42,Cry Baby (feat. DaBaby),Megan Thee Stallion,4aarlAfLKVCTxUDNgbwhjH,0.00402,0.957,137984,0.437,0.0,11,0.219,-7.882,1,0.359,130.058,4,0.616,2660651,73
43,Lonely (with benny blanco),Justin Bieber,4y4spB9m0Q6026KfkAvy9Q,0.864,0.631,149297,0.239,0.0,11,0.116,-7.071,0,0.0398,79.859,4,0.0927,2651993,79
44,Tequila Shots,Kid Cudi,30KctD1WsHKTIYczXjip5a,0.084,0.712,193293,0.556,5.04e-05,5,0.527,-7.214,0,0.0531,90.494,4,0.22,2626837,76
45,SO DONE,The Kid LAROI,3qgPpwtuRu5oP8EtFSj8HE,0.232,0.719,126521,0.598,0.0,9,0.115,-6.254,1,0.077,142.592,4,0.303,2612974,68
46,Robbery,Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,0.328,0.685,240051,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578,2592895,83
47,Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,2591076,91
48,Somebody’s Problem,Morgan Wallen,0SErdEdRcVX1uJCf1eTGYH,0.662,0.657,161773,0.54,0.0,5,0.123,-7.675,1,0.0287,136.97,4,0.625,2587814,70
49,Afterglow,Ed Sheeran,0E4Y1XIbs8GrAT1YqVy6dq,0.698,0.641,185487,0.324,0.0,11,0.328,-5.851,1,0.0299,110.184,4,0.273,2543629,81
50,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,0.533,0.755,157560,0.522,0.0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925,2542175,80
51,Dynamite,BTS,4saklk6nie3yiGePpBwUoc,0.0112,0.746,199054,0.765,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,0.737,2475139,87
52,Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789,2410751,84
53,On Me,Lil Baby,4Iedi94TIaB2GGb1nMB68v,0.00327,0.856,135960,0.564,0.0,6,0.134,-6.295,0,0.392,77.972,4,0.483,2386181,76
54,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446,2378101,87
55,Bang!,AJR,53BHUFdQphHiZUUG3nx9zn,0.0183,0.74,170858,0.516,0.0,1,0.0558,-6.233,0,0.0507,139.918,4,0.698,2373261,71
56,Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,0.00748,0.819,195906,0.626,0.101,10,0.167,-4.574,0,0.202,143.01,4,0.415,2354225,78
57,Prisoner (feat. Dua Lipa),Miley Cyrus,2Oycxb8QbPkpHTo8ZrmG0B,0.0103,0.781,169333,0.67,0.0,3,0.0761,-3.912,0,0.0452,127.99,4,0.595,2324251,76
58,Life Is Good (feat. Drake),Future,1K5KBOgreBi5fkEHvg5ap3,0.067,0.795,237918,0.574,0.0,2,0.15,-6.903,0,0.487,142.053,4,0.537,2278116,74
59,Roses - Imanbek Remix,SAINt JHN,0zLCBJZSiELJf02ucPP9wb,0.0143,0.769,176867,0.719,0.00777,8,0.359,-5.472,1,0.0474,121.955,4,0.863,2265566,71
60,Daddy Issues,The Neighbourhood,5E30LdtzQTGqRvNd7l6kG5,0.0678,0.588,260173,0.521,0.149,10,0.123,-9.461,1,0.0329,85.012,4,0.337,2245101,86
61,Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ,0.345,0.832,132833,0.534,0.0,1,0.165,-7.813,0,0.253,93.924,4,0.116,2240324,84
62,LA NOCHE DE ANOCHE,Bad Bunny,2XIc1pqjXV3Cr2BQUGNBck,0.0303,0.856,203201,0.618,0.0,7,0.0866,-4.892,1,0.286,81.993,4,0.391,2221758,84
63,Hayloft,Mother Mother,2kS6td1yvmpNgZTt1q5pQq,0.00475,0.527,181680,0.922,0.000162,9,0.422,-2.666,0,0.0728,95.975,4,0.49,2217223,80
64,Wonder,Shawn Mendes,6ZuahEctZD6w75peme58hm,0.136,0.442,172693,0.631,2.29e-05,1,0.133,-5.096,0,0.05,139.774,4,0.129,2203489,73
65,Still Trappin' (with King Von),Lil Durk,43BlKpJcSrC9AsJ3F1DKg9,0.0439,0.877,172185,0.677,0.0,5,0.0986,-4.969,0,0.356,144.941,4,0.627,2184191,39
66,Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,0.598,0.744,188387,0.619,0.00372,0,0.231,-9.805,1,0.039,112.997,4,0.641,2182804,82
67,Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,0.196,0.673,212093,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372,2182101,79
68,More Than My Hometown,Morgan Wallen,0eBXyY4SatzpE7opnzgXvz,0.601,0.621,216573,0.882,0.0,6,0.132,-5.01,1,0.0459,126.014,4,0.574,2173260,62
69,Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,0.604,0.459,215107,0.575,0.0,3,0.0885,-4.858,1,0.0573,111.881,4,0.183,2150346,84
70,Dead Man Walking,Brent Faiyaz,5VlTQnZO89Ioku8ssdbqJk,0.279,0.505,247080,0.267,0.0,9,0.096,-13.763,0,0.05,143.929,4,0.439,2144261,77
71,Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,0.0237,0.676,207133,0.771,7e-06,8,0.102,-3.675,1,0.0483,99.048,4,0.569,2143517,84
72,Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,0.231,0.647,193839,0.667,0.0,5,0.133,-5.563,1,0.304,172.08,4,0.704,2136412,75
