,Track Name,Artist,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams,popularity
0,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,0.335,0.563,178147,0.664,0.0,9,0.0849,-5.044,1,0.154,166.928,4,0.688,15040107,94
1,Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,0.235,0.762,208867,0.701,0.000158,8,0.123,-3.541,1,0.0286,110.968,4,0.742,8970538,90
2,deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,0.584,0.442,215507,0.612,5.7e-06,2,0.37,-7.222,1,0.112,180.917,4,0.178,8055377,88
3,RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,0.41,0.789,165926,0.536,0.0,6,0.129,-6.862,1,0.242,81.039,4,0.437,7805234,79
4,traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,0.691,0.38,229227,0.339,0.0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849,7373018,92
5,Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,0.00883,0.702,203064,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,7110028,87
6,MONTERO (Call Me By Your Name),Lil Nas X,67BtfxlNbhBmCDR2L2l8qd,0.297,0.61,137876,0.508,0.0,8,0.384,-6.682,0,0.152,178.818,4,0.758,6926162,87
7,Wants and Needs (feat. Lil Baby),Drake,65OVbaJR5O1RmwOQx0875b,0.0618,0.578,192956,0.449,2.17e-06,1,0.119,-6.349,1,0.286,136.006,4,0.1,6270966,84
8,favorite crime,Olivia Rodrigo,5JCoSi02qi3jJeHdZXMmR8,0.866,0.369,152667,0.272,0.0,9,0.147,-10.497,1,0.0364,172.929,4,0.218,5737185,86
9,Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,0.276,0.644,206710,0.648,0.0,1,0.135,-4.601,1,0.118,179.951,4,0.44,5694840,92
10,happier,Olivia Rodrigo,2tGvwE8GcFKwNdAXMnlbfl,0.765,0.395,175933,0.443,9.67e-06,6,0.0839,-9.72,1,0.133,168.924,3,0.338,5629978,88
11,Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,5382422,91
